"","GSPC.Open","GSPC.High","GSPC.Low","GSPC.Close","GSPC.Volume","GSPC.Adjusted","date"
"2019-01-02",2476.959961,2519.48999,2467.469971,2510.030029,3733160000,2510.030029,2019-01-02
"2019-01-03",2491.919922,2493.139893,2443.959961,2447.889893,3822860000,2447.889893,2019-01-03
"2019-01-04",2474.330078,2538.070068,2474.330078,2531.939941,4213410000,2531.939941,2019-01-04
"2019-01-07",2535.610107,2566.159912,2524.560059,2549.689941,4104710000,2549.689941,2019-01-07
"2019-01-08",2568.110107,2579.820068,2547.560059,2574.409912,4083030000,2574.409912,2019-01-08
"2019-01-09",2580,2595.320068,2568.889893,2584.959961,4052480000,2584.959961,2019-01-09
"2019-01-10",2573.51001,2597.820068,2562.02002,2596.639893,3704500000,2596.639893,2019-01-10
"2019-01-11",2588.110107,2596.27002,2577.399902,2596.26001,3434490000,2596.26001,2019-01-11
"2019-01-14",2580.310059,2589.320068,2570.409912,2582.610107,3664450000,2582.610107,2019-01-14
"2019-01-15",2585.100098,2613.080078,2585.100098,2610.300049,3572330000,2610.300049,2019-01-15
"2019-01-16",2614.75,2625.76001,2612.679932,2616.100098,3863770000,2616.100098,2019-01-16
"2019-01-17",2609.280029,2645.060059,2606.360107,2635.959961,3772270000,2635.959961,2019-01-17
"2019-01-18",2651.27002,2675.469971,2647.580078,2670.709961,3986730000,2670.709961,2019-01-18
"2019-01-22",2657.879883,2657.879883,2617.27002,2632.899902,3908030000,2632.899902,2019-01-22
"2019-01-23",2643.47998,2653.189941,2612.860107,2638.699951,3335610000,2638.699951,2019-01-23
"2019-01-24",2638.840088,2647.199951,2627.01001,2642.330078,3433250000,2642.330078,2019-01-24
"2019-01-25",2657.439941,2672.379883,2657.330078,2664.76001,3814080000,2664.76001,2019-01-25
"2019-01-28",2644.969971,2644.969971,2624.060059,2643.850098,3612810000,2643.850098,2019-01-28
"2019-01-29",2644.889893,2650.929932,2631.050049,2640,3504200000,2640,2019-01-29
"2019-01-30",2653.620117,2690.439941,2648.340088,2681.050049,3867810000,2681.050049,2019-01-30
"2019-01-31",2685.48999,2708.949951,2678.649902,2704.100098,4917650000,2704.100098,2019-01-31
"2019-02-01",2702.320068,2716.659912,2696.879883,2706.530029,3759270000,2706.530029,2019-02-01
"2019-02-04",2706.48999,2724.98999,2698.75,2724.870117,3359840000,2724.870117,2019-02-04
"2019-02-05",2728.340088,2738.97998,2724.030029,2737.699951,3560430000,2737.699951,2019-02-05
"2019-02-06",2735.050049,2738.080078,2724.149902,2731.610107,3472690000,2731.610107,2019-02-06
"2019-02-07",2717.530029,2719.320068,2687.26001,2706.050049,4099490000,2706.050049,2019-02-07
"2019-02-08",2692.360107,2708.070068,2681.830078,2707.879883,3622330000,2707.879883,2019-02-08
"2019-02-11",2712.399902,2718.050049,2703.790039,2709.800049,3361970000,2709.800049,2019-02-11
"2019-02-12",2722.610107,2748.189941,2722.610107,2744.72998,3827770000,2744.72998,2019-02-12
"2019-02-13",2750.300049,2761.850098,2748.629883,2753.030029,3670770000,2753.030029,2019-02-13
"2019-02-14",2743.5,2757.899902,2731.22998,2745.72998,3836700000,2745.72998,2019-02-14
"2019-02-15",2760.23999,2775.659912,2760.23999,2775.600098,3641370000,2775.600098,2019-02-15
"2019-02-19",2769.280029,2787.330078,2767.290039,2779.76001,3533710000,2779.76001,2019-02-19
"2019-02-20",2779.050049,2789.879883,2774.060059,2784.699951,3835450000,2784.699951,2019-02-20
"2019-02-21",2780.23999,2781.580078,2764.550049,2774.879883,3559710000,2774.879883,2019-02-21
"2019-02-22",2780.669922,2794.199951,2779.110107,2792.669922,3427810000,2792.669922,2019-02-22
"2019-02-25",2804.350098,2813.48999,2794.98999,2796.110107,3804380000,2796.110107,2019-02-25
"2019-02-26",2792.360107,2803.120117,2789.469971,2793.899902,3645680000,2793.899902,2019-02-26
"2019-02-27",2787.5,2795.76001,2775.129883,2792.379883,3767130000,2792.379883,2019-02-27
"2019-02-28",2788.110107,2793.72998,2782.51001,2784.48999,4396930000,2784.48999,2019-02-28
"2019-03-01",2798.219971,2808.02002,2787.379883,2803.689941,3972280000,2803.689941,2019-03-01
"2019-03-04",2814.370117,2816.879883,2767.659912,2792.810059,3919810000,2792.810059,2019-03-04
"2019-03-05",2794.409912,2796.439941,2782.969971,2789.649902,3585690000,2789.649902,2019-03-05
"2019-03-06",2790.27002,2790.27002,2768.689941,2771.449951,3786600000,2771.449951,2019-03-06
"2019-03-07",2766.530029,2767.25,2739.090088,2748.929932,3904860000,2748.929932,2019-03-07
"2019-03-08",2730.790039,2744.129883,2722.27002,2743.070068,3423130000,2743.070068,2019-03-08
"2019-03-11",2747.610107,2784,2747.610107,2783.300049,3749030000,2783.300049,2019-03-11
"2019-03-12",2787.340088,2798.320068,2786.72998,2791.52002,3414230000,2791.52002,2019-03-12
"2019-03-13",2799.780029,2821.23999,2799.780029,2810.919922,3766150000,2810.919922,2019-03-13
"2019-03-14",2810.379883,2815,2803.459961,2808.47998,3469730000,2808.47998,2019-03-14
"2019-03-15",2810.790039,2830.72998,2810.790039,2822.47998,5962730000,2822.47998,2019-03-15
"2019-03-18",2822.610107,2835.409912,2821.98999,2832.939941,3552190000,2832.939941,2019-03-18
"2019-03-19",2840.76001,2852.419922,2823.27002,2832.570068,3620220000,2832.570068,2019-03-19
"2019-03-20",2831.340088,2843.540039,2812.429932,2824.22998,3771200000,2824.22998,2019-03-20
"2019-03-21",2819.719971,2860.310059,2817.379883,2854.879883,3546800000,2854.879883,2019-03-21
