"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2019-02-19",107.790001,108.660004,107.779999,108.169998,18038500,104.991707,2019-02-19
"2019-02-20",107.860001,107.940002,106.290001,107.150002,21607700,104.445847,2019-02-20
"2019-02-21",106.900002,109.480003,106.870003,109.410004,29063200,106.648819,2019-02-21
"2019-02-22",110.050003,111.199997,109.82,110.970001,27763200,108.169426,2019-02-22
"2019-02-25",111.760002,112.18,111.260002,111.589996,23750600,108.773781,2019-02-25
"2019-02-26",111.260002,113.239998,111.169998,112.360001,21536700,109.524368,2019-02-26
"2019-02-27",111.690002,112.360001,110.879997,112.169998,21487100,109.339157,2019-02-27
"2019-02-28",112.040001,112.879997,111.730003,112.029999,29083900,109.202682,2019-02-28
"2019-03-01",112.889999,113.019997,111.669998,112.529999,23501200,109.690079,2019-03-01
"2019-03-04",113.019997,113.25,110.800003,112.260002,26608000,109.426872,2019-03-04
"2019-03-05",112.25,112.389999,111.230003,111.699997,19538300,108.880997,2019-03-05
"2019-03-06",111.870003,112.660004,111.43,111.75,17687000,108.929749,2019-03-06
"2019-03-07",111.400002,111.550003,109.870003,110.389999,25339000,107.604065,2019-03-07
"2019-03-08",109.160004,110.709999,108.800003,110.510002,22818400,107.721046,2019-03-08
"2019-03-11",110.989998,112.949997,110.980003,112.830002,26491600,109.982498,2019-03-11
"2019-03-12",112.82,113.989998,112.650002,113.620003,26132700,110.752556,2019-03-12
"2019-03-13",114.129997,115,113.779999,114.5,35513800,111.610352,2019-03-13
"2019-03-14",114.540001,115.199997,114.330002,114.589996,30763400,111.698067,2019-03-14
"2019-03-15",115.339996,117.25,114.589996,115.910004,54681100,112.984764,2019-03-15
"2019-03-18",116.169998,117.610001,116.050003,117.57,31207600,114.602867,2019-03-18
"2019-03-19",118.089996,118.440002,116.989998,117.650002,37588700,114.680855,2019-03-19
"2019-03-20",117.389999,118.75,116.709999,117.519997,28113300,114.554131,2019-03-20
"2019-03-21",117.139999,120.82,117.089996,120.220001,29854400,117.186012,2019-03-21
"2019-03-22",119.5,119.589996,117.040001,117.050003,33624500,114.095993,2019-03-22
"2019-03-25",116.559998,118.010002,116.32,117.660004,27067100,114.690613,2019-03-25
"2019-03-26",118.620003,118.709999,116.849998,117.910004,26097700,114.934296,2019-03-26
"2019-03-27",117.879997,118.209999,115.519997,116.769997,22733400,113.823051,2019-03-27
"2019-03-28",117.440002,117.580002,116.129997,116.93,18334800,113.979027,2019-03-28
"2019-03-29",118.07,118.32,116.959999,117.940002,25399800,114.963547,2019-03-29
"2019-04-01",118.949997,119.110001,118.099998,119.019997,22789100,116.016281,2019-04-01
"2019-04-02",119.059998,119.480003,118.519997,119.190002,18142300,116.181984,2019-04-02
"2019-04-03",119.860001,120.43,119.150002,119.970001,22860700,116.942307,2019-04-03
"2019-04-04",120.099998,120.230003,118.379997,119.360001,20112800,116.347702,2019-04-04
"2019-04-05",119.389999,120.230003,119.370003,119.889999,15826200,116.864326,2019-04-05
"2019-04-08",119.809998,120.019997,118.639999,119.93,15116200,116.903313,2019-04-08
"2019-04-09",118.629997,119.540001,118.580002,119.279999,17612000,116.269699,2019-04-09
"2019-04-10",119.760002,120.349998,119.540001,120.190002,16477200,117.156754,2019-04-10
"2019-04-11",120.540001,120.849998,119.919998,120.330002,14209100,117.293213,2019-04-11
"2019-04-12",120.639999,120.980003,120.370003,120.949997,19745100,117.89756,2019-04-12
"2019-04-15",120.940002,121.580002,120.57,121.050003,15792600,117.995049,2019-04-15
"2019-04-16",121.639999,121.650002,120.099998,120.769997,14071800,117.722115,2019-04-16
"2019-04-17",121.239998,121.849998,120.540001,121.769997,19300900,118.696884,2019-04-17
"2019-04-18",122.190002,123.519997,121.300003,123.370003,27991000,120.256508,2019-04-18
"2019-04-22",122.620003,124,122.57,123.760002,15648700,120.636658,2019-04-22
"2019-04-23",124.099998,125.580002,123.830002,125.440002,24025500,122.274261,2019-04-23
"2019-04-24",125.790001,125.849998,124.519997,125.010002,31257000,121.855118,2019-04-24
"2019-04-25",130.059998,131.369995,128.830002,129.149994,38033900,125.890625,2019-04-25
"2019-04-26",129.699997,130.520004,129.020004,129.889999,23654900,126.611938,2019-04-26
"2019-04-29",129.899994,130.179993,129.350006,129.770004,16324200,126.49498,2019-04-29
"2019-04-30",129.809998,130.699997,129.389999,130.600006,24166500,127.304047,2019-04-30
