"","IXIC.Open","IXIC.High","IXIC.Low","IXIC.Close","IXIC.Volume","IXIC.Adjusted","date"
"2019-01-02",6506.910156,6693.709961,6506.879883,6665.939941,2261800000,6665.939941,2019-01-02
"2019-01-03",6584.77002,6600.209961,6457.129883,6463.5,2607290000,6463.5,2019-01-03
"2019-01-04",6567.140137,6760.689941,6554.240234,6738.859863,2579550000,6738.859863,2019-01-04
"2019-01-07",6757.529785,6855.600098,6741.399902,6823.470215,2507550000,6823.470215,2019-01-07
"2019-01-08",6893.439941,6909.580078,6795.859863,6897,2380290000,6897,2019-01-08
"2019-01-09",6923.060059,6985.220215,6899.560059,6957.080078,2422590000,6957.080078,2019-01-09
"2019-01-10",6908.649902,6991.370117,6877.080078,6986.069824,2179080000,6986.069824,2019-01-10
"2019-01-11",6947.459961,6975.649902,6933.600098,6971.47998,2066500000,6971.47998,2019-01-11
"2019-01-14",6908.029785,6936.220215,6887.47998,6905.919922,1942210000,6905.919922,2019-01-14
"2019-01-15",6931.390137,7025.850098,6928.120117,7023.830078,2038090000,7023.830078,2019-01-15
"2019-01-16",7033.75,7079.629883,7028.120117,7034.689941,2149580000,7034.689941,2019-01-16
"2019-01-17",7010.129883,7113.950195,7003.620117,7084.459961,2128840000,7084.459961,2019-01-17
"2019-01-18",7134.100098,7185.379883,7096.620117,7157.22998,2451240000,7157.22998,2019-01-18
"2019-01-22",7109.569824,7110.160156,6979.810059,7020.359863,2380950000,7020.359863,2019-01-22
"2019-01-23",7061.649902,7084.850098,6953.22998,7025.77002,2274420000,7025.77002,2019-01-23
"2019-01-24",7042.25,7078.959961,7029.950195,7073.459961,2400290000,7073.459961,2019-01-24
"2019-01-25",7128.180176,7174.560059,7111.089844,7164.859863,2440840000,7164.859863,2019-01-25
"2019-01-28",7075.009766,7086.299805,7034.25,7085.680176,2435480000,7085.680176,2019-01-28
"2019-01-29",7087.490234,7092.290039,7011.470215,7028.290039,2089690000,7028.290039,2019-01-29
"2019-01-30",7094.790039,7201.310059,7065.569824,7183.080078,2544050000,7183.080078,2019-01-30
"2019-01-31",7208.169922,7303.120117,7205.950195,7281.740234,2918710000,7281.740234,2019-01-31
"2019-02-01",7256.370117,7299.939941,7243.410156,7263.870117,2383430000,7263.870117,2019-02-01
"2019-02-04",7266.279785,7348.22998,7261.069824,7347.540039,2099470000,7347.540039,2019-02-04
"2019-02-05",7356.339844,7408.680176,7355.359863,7402.080078,2265520000,7402.080078,2019-02-05
"2019-02-06",7400.439941,7410.77002,7346.720215,7375.279785,2167130000,7375.279785,2019-02-06
"2019-02-07",7316.5,7336.740234,7235.049805,7288.350098,2295080000,7288.350098,2019-02-07
"2019-02-08",7232.299805,7299.439941,7225.140137,7298.200195,2086260000,7298.200195,2019-02-08
"2019-02-11",7327.370117,7343.560059,7290.029785,7307.899902,1897800000,7307.899902,2019-02-11
"2019-02-12",7358.850098,7419.430176,7349.799805,7414.620117,2124330000,7414.620117,2019-02-12
"2019-02-13",7437.459961,7461.660156,7413.839844,7420.379883,2093800000,7420.379883,2019-02-13
"2019-02-14",7390.25,7454.419922,7375.709961,7426.950195,2103370000,7426.950195,2019-02-14
"2019-02-15",7468.569824,7477.279785,7440.259766,7472.410156,2257750000,7472.410156,2019-02-15
"2019-02-19",7450.75,7507.790039,7450.27002,7486.77002,2120790000,7486.77002,2019-02-19
"2019-02-20",7490.310059,7513.700195,7455.25,7489.069824,2181760000,7489.069824,2019-02-20
"2019-02-21",7475.410156,7485.75,7430.890137,7459.709961,2119080000,7459.709961,2019-02-21
"2019-02-22",7481.629883,7527.540039,7479.009766,7527.540039,2417680000,7527.540039,2019-02-22
"2019-02-25",7585.299805,7602.689941,7551.609863,7554.459961,2363140000,7554.459961,2019-02-25
"2019-02-26",7535.290039,7573.220215,7524.310059,7549.299805,2257710000,7549.299805,2019-02-26
"2019-02-27",7526.419922,7562.290039,7485.390137,7554.509766,2423360000,7554.509766,2019-02-27
"2019-02-28",7533.310059,7561.899902,7516.47998,7532.529785,2647080000,7532.529785,2019-02-28
"2019-03-01",7587.450195,7603.040039,7540.75,7595.350098,2463190000,7595.350098,2019-03-01
"2019-03-04",7636.620117,7643.660156,7501.560059,7577.569824,2569590000,7577.569824,2019-03-04
"2019-03-05",7582.290039,7598.660156,7543.540039,7576.359863,2142610000,7576.359863,2019-03-05
"2019-03-06",7575.379883,7579.02002,7499.870117,7505.919922,2242810000,7505.919922,2019-03-06
"2019-03-07",7483.790039,7489.080078,7397.189941,7421.459961,2440840000,7421.459961,2019-03-07
"2019-03-08",7334.350098,7411.52002,7332.919922,7408.140137,2245430000,7408.140137,2019-03-08
"2019-03-11",7442.560059,7558.22998,7442.399902,7558.060059,2226950000,7558.060059,2019-03-11
"2019-03-12",7571.850098,7611.129883,7560.459961,7591.029785,2161400000,7591.029785,2019-03-12
"2019-03-13",7621.379883,7677.069824,7619.459961,7643.410156,2366350000,7643.410156,2019-03-13
"2019-03-14",7644.790039,7653.100098,7627.02002,7630.910156,2176510000,7630.910156,2019-03-14
"2019-03-15",7658.410156,7714.959961,7652.040039,7688.529785,3447190000,7688.529785,2019-03-15
"2019-03-18",7696.379883,7737.669922,7677.740234,7714.47998,2274490000,7714.47998,2019-03-18
"2019-03-19",7747.399902,7767.890137,7699.149902,7723.950195,2433160000,7723.950195,2019-03-19
"2019-03-20",7721.950195,7779.240234,7674.040039,7728.970215,2424400000,7728.970215,2019-03-20
"2019-03-21",7705.430176,7850.109863,7705.430176,7838.959961,2483580000,7838.959961,2019-03-21
"2019-03-22",7800.25,7817.830078,7642.569824,7642.669922,2490730000,7642.669922,2019-03-22
"2019-03-25",7618.97998,7662.379883,7579.290039,7637.540039,2130230000,7637.540039,2019-03-25
"2019-03-26",7700,7738.169922,7649.209961,7691.52002,2068900000,7691.52002,2019-03-26
"2019-03-27",7702.049805,7712.839844,7582.089844,7643.379883,2221650000,7643.379883,2019-03-27
"2019-03-28",7660.069824,7689.160156,7619.819824,7669.169922,1902060000,7669.169922,2019-03-28
"2019-03-29",7726.709961,7733.620117,7688.509766,7729.319824,2233470000,7729.319824,2019-03-29
